"id","submission_time","vote_number","question_id","message"
1,"2023-10-02 17:52:17",2,1,"An adult cat sleeps a lot. Between 12 and 18 hours a day."
2,"2023-10-02 18:28:24",0,1,"Newborn kittens sleep almost all day. And adult cat sleeps at least 12 hours."
3,"2023-10-02 18:33:32",2,2,"Whales are marine mammals and as all mammals they breathe air. So they have to come to the surface to breathe."
4,"2023-10-02 18:35:28",1,2,"They are very intelligent, curious creatures and they visit the surface to look around beside their need to breathe."
5,"2023-10-02 18:37:56",1,3,"There are no observations of an upside down swimming duck."
6,"2023-10-02 18:40:31",3,3,"On the surface ducks don't swim upside down, but under water they can swim in every direction and there is video footage showing they can turn upside down during the chase of a prey."
7,"2023-10-02 18:44:21",1,4,"Although Lessie is very relatable, but the books are not based on real events. "
8,"2023-10-02 18:49:12",1,5,"Most dirtbikers go offroad because they love the challenge of the offbeat path and be able to go on an adventure on the countryside. "
9,"2023-10-02 18:51:58",3,5,"In some professions people use dirtbikes to reach places where no paved roads are available. Ex. mobile tower inspectors, postman in rural areas. Although this kind of jobs exist most people ride dirtbikes for fun."
10,"2023-10-17 19:32:19",0,4,"makirugo"
